Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct)
11922	-0.74060E-04	-0.47812E-03	-4.0078E-06	-0.14837E-02	3.2412E-06	2.4814E-06
11923	 0.24723E-04	 0.45389E-03	-2.6928E-07	 0.12546E-02	5.7039E-06	4.0549E-06
11923	-0.23139E-04	-0.44703E-03	-3.8174E-06	-0.12393E-02	3.2457E-06	2.3225E-06
11924	-0.18447E-04	 0.41701E-03	-1.3114E-06	 0.10123E-02	5.7052E-06	3.7346E-06
11924	 0.19659E-04	-0.40924E-03	-3.4773E-06	-0.99726E-03	3.5048E-06	2.3003E-06
11925	-0.49860E-04	 0.37028E-03	-2.3566E-06	 0.77706E-03	5.7898E-06	3.4215E-06
11925	 0.50642E-04	-0.36124E-03	-3.3292E-06	-0.76205E-03	3.8219E-06	2.2665E-06
11926	-0.65606E-04	 0.30894E-03	-3.4164E-06	 0.55289E-03	5.8621E-06	3.0723E-06
11926	 0.65847E-04	-0.29835E-03	-3.2581E-06	-0.53796E-03	4.2609E-06	2.2368E-06
11927	-0.63765E-04	 0.23118E-03	-4.0872E-06	 0.34816E-03	5.9238E-06	0.000002693
11927	 0.63351E-04	-0.21874E-03	-3.6909E-06	-0.33345E-03	4.7856E-06	2.1777E-06
11928	-0.44143E-04	 0.13780E-03	-4.8388E-06	 0.17252E-03	6.0814E-06	2.3324E-06
11928	 0.42944E-04	-0.12324E-03	-4.0963E-06	-0.15839E-03	5.2447E-06	2.0123E-06
11929	-0.83701E-05	 0.30660E-04	-5.5212E-06	 0.34830E-04	0.000006215	1.9354E-06
11929	 0.62556E-05	-0.13770E-04	-4.5577E-06	-0.21783E-04	5.6952E-06	1.7732E-06
