Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct) 
11722	-0.000061629	0.000065611	-0.000082413	-0.000045376	0.000030299	0.00017756
11722	0.000050623	-0.000058687	0.000078052	0.000038941	-0.000029193	-0.00017092
11723	-0.000075584	0.000072497	-0.000083849	-0.000052885	0.000033976	0.00019891
11723	0.000062374	-0.000067437	0.000085646	0.000046311	-0.000032747	-0.00019177
11724	-0.000092575	0.000080472	-0.000084586	-0.000061193	0.000037403	0.00022133
11724	0.000077489	-0.000076889	0.000091398	0.000054537	-0.000036182	-0.00021438
11725	-0.00011309	0.000089298	-0.000083838	-0.000071463	0.000041033	0.00024362
11725	0.000096463	-0.000086895	0.00009469	0.000064688	-0.000039924	-0.00023751
11726	-0.00013786	0.000098626	-0.000080176	-0.000084041	0.000044625	0.00026383
11726	0.0001196	-0.000097569	0.000095512	0.000077109	-0.000043755	-0.00025942
11727	-0.00016723	0.00010837	-0.000072876	-0.000097863	0.000047111	0.00027924
11727	0.00014705	-0.00010885	0.000093391	0.000090789	-0.000046661	-0.00027764
11728	-0.00020025	0.0001185	-0.000062612	-0.00011155	0.000047519	0.00028646
11728	0.00017838	-0.00012027	0.000087537	0.0001044	-0.00004768	-0.00028883
11729	-0.0002347	0.0001284	-0.000050294	-0.00012487	0.000045842	0.00028245
11729	0.00021176	-0.00013091	0.000077888	0.00011772	-0.00004672	-0.00028945
11730	-0.00026788	0.00013722	-0.000037078	-0.00013845	0.000042432	0.00026507
11730	0.00024435	-0.00014016	0.000066193	0.00013126	-0.000044044	-0.00027677
11731	-0.00029705	0.00014429	-0.000024297	-0.00015175	0.000037291	0.00023417
11731	0.00027297	-0.00014765	0.000054823	0.00014446	-0.000039641	-0.00025048
11732	-0.00031958	0.00014934	-0.00001368	-0.00016272	0.000030301	0.00019185
11732	0.00029492	-0.00015318	0.000045793	0.00015529	-0.000033437	-0.00021298
11733	-0.00033368	0.00015238	-6.6369E-06	-0.00016885	0.000021791	0.00014211
11733	0.00030856	-0.00015669	0.000040211	0.00016139	-0.000025784	-0.00016861
11734	-0.00033866	0.00015347	-3.8112E-06	-0.00016893	0.000012712	0.000090015
11734	0.00031333	-0.00015804	0.000038147	0.00016154	-0.000017591	-0.00012236
11735	-0.00033481	0.0001525	-4.8144E-06	-0.00016387	4.1899E-06	0.000040198
11735	0.00030969	-0.00015699	0.000038814	0.00015664	-0.000009912	-0.000078426
11736	-0.00032339	0.00014934	-8.5366E-06	-0.00015596	-3.0448E-06	-3.8647E-06
11736	0.00029892	-0.00015345	0.000041088	0.00014891	-3.4101E-06	-0.000039553
11737	-0.00030622	0.00014407	-0.000013658	-0.00014762	-0.000008873	-0.000040433
11737	0.00028262	-0.00014749	0.000043869	0.00014067	1.8082E-06	-6.8465E-06
11738	-0.00028533	0.00013696	-0.000018869	-0.00014002	-0.000013561	-0.000069442
11738	0.00026259	-0.0001396	0.000046567	0.00013301	5.9815E-06	0.000019728
11739	-0.00026272	0.00012859	-0.000023155	-0.00013214	-0.000017342	-0.000092069
11739	0.00024058	-0.00013064	0.000048978	0.00012501	0.000009338	0.000040791
11740	-0.00023981	0.00011976	-0.000026363	-0.00012193	-0.000020153	-0.00010989
11740	0.00021792	-0.00012132	0.000050883	0.00011469	0.000011849	0.000057069
11741	-0.00021686	0.00011082	-0.000028893	-0.00010884	-0.000021906	-0.0001242
11741	0.00019516	-0.00011166	0.000051703	0.00010159	0.000013447	0.000069498
11742	-0.00019339	0.00010167	-0.000031381	-0.000095061	-0.000022916	-0.00013556
11742	0.00017232	-0.00010132	0.000051046	0.000087847	0.00001439	0.000079145
11743	-0.00016928	0.000092061	-0.000033857	-0.000082883	-0.000023745	-0.00014417
11743	0.00014922	-0.000090124	0.000049139	0.000075607	0.000015155	0.000086981
11744	-0.00014504	0.000082015	-0.000035879	-0.000072644	-0.000024698	-0.0001503
11744	0.00012595	-0.000078419	0.00004663	0.000065112	0.000016043	0.000093642
11745	-0.00012124	0.000071761	-0.000037154	-0.000063236	-0.000025676	-0.00015442
11745	0.00010285	-0.000066724	0.000044101	0.000055322	0.000017024	0.000099378
11746	-0.000098018	0.000061444	-0.000037622	-0.000053304	-0.000026337	-0.00015717
11746	0.000079967	-0.000055292	0.000041809	0.000045034	0.000017851	0.00010432
11747	-0.000075173	0.000051223	-0.000037739	-0.000042446	-0.000026439	-0.00015892
11747	0.000057318	-0.000044034	0.000039503	0.000033931	0.000018292	0.00010842
11748	-0.000052331	0.000041061	-0.00003789	-0.000031114	-0.000026036	-0.00015984
11748	0.000034768	-0.000032679	0.000036826	0.000022468	0.000018359	0.00011179
11749	-0.000029091	0.000030855	-0.000038369	-0.000019846	-0.000025363	-0.00015978
11749	0.000012088	-0.000021004	0.000033632	0.000011121	0.000018236	0.0001146
11750	-0.000005393	0.000020553	-0.000039176	-8.9067E-06	-0.00002477	-0.00015857
11750	-0.000010807	-8.9906E-06	0.00002999	2.5384E-08	0.000018216	0.00011696
11751	0.000018378	0.000010216	-0.000040007	1.9093E-06	-0.000024558	-0.00015605
11751	-0.000033737	3.0698E-06	0.000026275	-0.000011154	0.000018586	0.00011899
11752	0.000041622	-2.5813E-08	-0.000040429	0.000013131	-0.000024737	-0.00015232
11752	-0.000056374	0.00001474	0.000022967	-0.000022969	0.000019405	0.00012075
11753	0.000063909	-0.00001009	-0.000040113	0.000025048	-0.000025009	-0.0001477
11753	-0.000078512	0.000025733	0.000020417	-0.000035609	0.000020445	0.0001222
11754	0.000085185	-0.000019946	-0.00003909	0.000037454	-0.000025055	-0.00014257
11754	-0.0001001	0.000036046	0.000018627	-0.000048729	0.000021412	0.00012336
11755	0.00010574	-0.000029694	-0.00003754	0.000049885	-0.000024714	-0.00013725
11755	-0.00012133	0.000045901	0.000017431	-0.000061761	0.000022099	0.0001242
11756	0.00012605	-0.000039468	-0.000035744	0.000061937	-0.000023979	-0.00013192
11756	-0.0001425	0.00005562	0.000016556	-0.000074255	0.000022423	0.00012475
11757	0.00014642	-0.000049316	-0.000033934	0.00007358	-0.000022999	-0.00012661
11757	-0.00016377	0.000065401	0.000015755	-0.00008623	0.000022477	0.00012501
11758	0.00016694	-0.000059202	-0.00003221	0.000085229	-0.000021983	-0.0001213
11758	-0.00018512	0.000075247	0.00001491	-0.000098174	0.000022449	0.00012498
11759	0.00018753	-0.000069065	-0.000030507	0.000097347	-0.000021053	-0.00011594
11759	-0.00020646	0.000085038	0.000014073	-0.00011061	0.000022472	0.00012467
11760	0.000208	-0.000078816	-0.000028788	0.00011003	-0.000020202	-0.0001105
11760	-0.0002277	0.000094689	0.000013291	-0.00012367	0.000022564	0.00012412
11761	0.00022836	-0.000088538	-0.000027014	0.00012277	-0.000019319	-0.00010502
11761	-0.00024892	0.00010428	0.000012607	-0.00013681	0.000022612	0.0001234
11762	0.0002489	-0.000098401	-0.000025236	0.00013497	-0.000018315	-0.000099535
11762	-0.00027029	0.000114	0.000011936	-0.00014932	0.000022494	0.0001225
11763	0.00026971	-0.0001084	-0.000023524	0.00014684	-0.00001725	-0.000094059
11763	-0.00029184	0.00012388	0.000011196	-0.00016141	0.000022265	0.00012142
11764	0.00029058	-0.00011833	-0.000021904	0.00015928	-0.000016241	-0.000088536
11764	-0.00031344	0.00013376	0.00001037	-0.00017414	0.000022082	0.00012014
11765	0.00031124	-0.00012804	-0.0000203	0.00017287	-0.000015328	-0.000082935
11765	-0.00033489	0.00014343	9.5451E-06	-0.00018818	0.00002202	0.00011866
11766	0.0003317	-0.00013759	-0.00001867	0.00018711	-0.000014439	-0.000077296
11766	-0.0003561	0.00015291	8.7497E-06	-0.00020289	0.000021986	0.00011698
11767	0.00035219	-0.00014716	-0.000017011	0.00020131	-0.000013511	-0.000071671
11767	-0.00037714	0.00016232	0.000007967	-0.00021742	0.00002188	0.00011514
11768	0.00037281	-0.00015682	-0.000015371	0.00021531	-0.000012541	-0.000066071
11768	-0.00039809	0.00017172	7.1561E-06	-0.00023159	0.000021688	0.00011313
11769	0.00039358	-0.00016655	-0.000013768	0.00022912	-0.000011541	-0.000060495
11769	-0.00041907	0.00018119	6.3089E-06	-0.00024548	0.000021421	0.00011098
11770	0.00041442	-0.00017625	-0.000012227	0.00024322	-0.000010544	-0.000054948
11770	-0.00044004	0.00019064	5.4082E-06	-0.00025965	0.00002113	0.00010865
11771	0.00043521	-0.00018585	-0.000010707	0.000258	-9.5699E-06	-0.000049457
11771	-0.00046091	0.00019998	4.4972E-06	-0.00027451	0.000020844	0.00010614
11772	0.00045585	-0.00019531	-9.2004E-06	0.0002734	-8.6109E-06	-0.000044032
11772	-0.00048168	0.0002092	3.5844E-06	-0.00029003	0.000020554	0.00010345
11773	0.0004763	-0.0002046	-7.7262E-06	0.00028923	-7.6579E-06	-0.000038682
11773	-0.00050238	0.00021832	2.6686E-06	-0.00030611	0.000020241	0.00010058
11774	0.00049683	-0.00021394	-6.2751E-06	0.00030479	-6.6963E-06	-0.000033447
11774	-0.00052319	0.00022752	1.7626E-06	-0.00032189	0.000019846	0.000097547
11775	0.00051778	-0.00022356	-4.8851E-06	0.00031951	-5.7299E-06	-0.00002838
11775	-0.00054423	0.00023696	8.3344E-07	-0.00033666	0.000019331	0.000094347
11776	0.00053903	-0.00023331	-3.5283E-06	0.00033421	-4.7951E-06	-0.000023532
11776	-0.00056543	0.00024648	-9.361E-08	-0.00035132	0.000018757	0.000090982
11777	0.00056006	-0.00024273	-2.2361E-06	0.00035068	-3.9229E-06	-0.000018923
11777	-0.00058644	0.0002557	-1.0115E-06	-0.00036786	0.000018229	0.000087424
11778	0.00058048	-0.00025153	-9.7814E-07	0.00036982	-3.1167E-06	-0.000014592
11778	-0.00060684	0.00026429	-1.9017E-06	-0.00038721	0.000017779	0.00008368
11779	0.00060051	-0.00025995	2.5794E-07	0.00039045	-2.3595E-06	-0.000010582
11779	-0.00062661	0.00027238	-2.7531E-06	-0.00040794	0.00001733	0.000079793
11780	0.00062044	-0.00026833	0.000001532	0.00041097	-1.6412E-06	-6.9045E-06
11780	-0.00064621	0.00028034	-3.4983E-06	-0.00042845	0.000016806	0.000075813
11781	0.00064011	-0.00027653	2.7444E-06	0.00043154	-9.6522E-07	-3.5446E-06
11781	-0.00066573	0.00028821	-0.000004201	-0.00044912	0.000016224	0.000071757
11782	0.00065887	-0.00028397	4.0098E-06	0.00045475	-3.4592E-07	-5.4242E-07
11782	-0.00068446	0.00029527	-4.7721E-06	-0.00047256	0.000015692	0.000067667
11783	0.00067588	-0.00028982	5.2699E-06	0.00048333	2.2956E-07	2.1155E-06
11783	-0.0007013	0.00030062	-5.2367E-06	-0.00050148	0.000015292	0.000063566
11784	0.00069069	-0.00029393	0.000006511	0.00051632	8.0165E-07	4.5448E-06
11784	-0.00071603	0.00030423	-5.6841E-06	-0.00053503	0.00001497	0.000059487
11785	0.00070426	-0.00029726	0.000007625	0.00054912	1.4053E-06	0.000006905
11785	-0.00072961	0.00030718	-6.1865E-06	-0.00056848	0.000014578	0.000055478
11786	0.00071824	-0.00030128	8.6955E-06	0.00057752	2.0484E-06	9.3146E-06
11786	-0.00074352	0.00031082	-6.6534E-06	-0.00059728	0.00001401	0.00005159
11787	0.00073335	-0.00030653	9.6873E-06	0.00060051	2.7342E-06	0.000011868
11787	-0.0007586	0.00031575	-7.0807E-06	-0.00062046	0.000013275	0.000047837
11788	0.00074949	-0.00031281	0.000010618	0.00061969	3.4575E-06	0.000014574
11788	-0.00077476	0.00032178	-7.5065E-06	-0.00063972	0.00001245	0.000044231
11789	0.00076613	-0.0003195	0.000011622	0.00063798	4.2075E-06	0.000017359
11789	-0.00079141	0.00032813	-0.000007775	-0.00065795	0.000011625	0.000040799
11790	0.00078241	-0.00032569	0.000012552	0.00065817	4.9912E-06	0.000020161
11790	-0.00080772	0.000334	-8.0251E-06	-0.00067817	0.00001086	0.000037538
11791	0.00079791	-0.00033099	0.000013381	0.00068133	0.00000581	0.000022919
11791	-0.00082316	0.00033898	-8.2912E-06	-0.00070143	0.00001017	0.000034461
11792	0.00081327	-0.00033604	0.000014127	0.00070537	6.6388E-06	0.000025605
11792	-0.00083818	0.00034363	-8.5696E-06	-0.00072536	9.5154E-06	0.00003158
11793	0.00082959	-0.00034195	0.00001476	0.00072648	0.000007432	0.000028226
11793	-0.00085416	0.00034924	-8.8932E-06	-0.00074628	8.8437E-06	0.000028884
11794	0.00084717	-0.00034899	0.000015333	0.00074415	8.1527E-06	0.000030717
11794	-0.00087155	0.00035608	-9.2079E-06	-0.00076377	8.1654E-06	0.000026386
11795	0.00086476	-0.00035581	0.000015944	0.00076346	8.8179E-06	0.000032925
11795	-0.00088874	0.00036255	-9.4292E-06	-0.00078271	0.000007559	0.000024128
11796	0.0008802	-0.00036031	0.000016529	0.00079061	9.4911E-06	0.000034735
11796	-0.00090342	0.00036652	-9.6217E-06	-0.00080941	7.0868E-06	0.000022119
11797	0.00089274	-0.000362	0.000016956	0.00082534	0.000010193	0.000036179
11797	-0.0009153	0.00036781	-0.000009918	-0.00084404	6.7171E-06	0.000020302
11798	0.00090489	-0.00036339	0.000017041	0.00085917	0.000010838	0.000037401
11798	-0.00092686	0.00036911	-0.000010507	-0.00087797	6.3467E-06	0.000018604
11799	0.00091998	-0.0003676	0.000017035	0.00088439	0.000011312	0.000038481
