Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11736	0.00025128	-0.00011188	-1.8918E-06	0.00012242	-0.000010655	-0.000070218
11737	-0.00021766	0.000097306	8.5118E-07	-0.00010578	-2.2609E-06	-8.9833E-06
11737	0.00024711	-0.00011134	8.5799E-07	0.00012014	-7.2704E-06	-0.000050131
11738	-0.00020986	0.000095397	-2.7998E-06	-0.00010371	-0.000005275	-0.000027009
11738	0.0002403	-0.00010944	3.6081E-06	0.00011857	-0.000004628	-0.000033703
11739	-0.00020031	0.000092514	-0.000006157	-0.00010129	-7.7293E-06	-0.000041195
11739	0.00023166	-0.00010654	6.0906E-06	0.00011672	-2.5352E-06	-0.000020644
11740	-0.00019013	0.000089278	-9.0698E-06	-0.000097003	-9.6135E-06	-0.000052384
11740	0.00022227	-0.00010327	0.000008171	0.00011273	-8.7623E-07	-0.000010595
11741	-0.00018028	0.000086164	-0.000011521	-0.000090566	-0.000010884	-0.000061327
11741	0.00021315	-0.00010007	9.6697E-06	0.00010617	3.794E-07	-0.000003017
11742	-0.000171	0.000083236	-0.000013706	-0.000083778	-0.000011701	-0.000068426
11742	0.00020473	-0.000096939	0.000010494	0.000099102	1.2895E-06	2.8033E-06
11743	-0.00016206	0.000080243	-0.000015684	-0.000078533	-0.000012364	-0.000073869
11743	0.0001967	-0.000093555	0.000010713	0.000093766	0.000001989	7.5477E-06
11744	-0.00015311	0.000076942	-0.000017348	-0.000075086	-0.00001305	-0.000077873
11744	0.00018849	-0.000089739	0.000010565	0.000090507	2.6053E-06	0.000011659
11745	-0.00014389	0.000073267	-0.000018641	-0.000072364	-0.000013726	-0.000080738
11745	0.00017981	-0.000085557	0.000010289	0.000088133	3.1818E-06	0.00001529
11746	-0.00013444	0.000069339	-0.000019519	-0.000068977	-0.000014224	-0.000082853
11746	0.00017075	-0.000081246	0.000010002	0.000085005	0.000003692	0.000018489
11747	-0.00012513	0.000065486	-0.000020193	-0.000064427	-0.000014414	-0.000084424
11747	0.00016178	-0.000077062	9.6323E-06	0.000080432	0.000004078	0.000021194
11748	-0.0001163	0.000061901	-0.000020823	-0.000059197	-0.000014324	-0.000085546
11748	0.00015332	-0.000073109	9.0574E-06	0.000074929	0.000004341	0.000023502
11749	-0.00010802	0.00005861	-0.000021525	-0.000054066	-0.000014078	-0.000086171
11749	0.0001455	-0.000069347	8.2368E-06	0.00006943	4.5344E-06	0.00002558
11750	-0.00010011	0.000055489	-0.000022346	-0.000049771	-0.000013863	-0.000086173
11750	0.00013808	-0.00006559	7.1767E-06	0.000064878	4.7419E-06	0.000027563
11751	-0.000092111	0.00005222	-0.000023147	-0.0000466	-0.000013849	-0.000085495
11751	0.0001305	-0.000061601	6.0506E-06	0.000061774	5.0554E-06	0.000029588
11752	-0.000083497	0.000048498	-0.000023748	-0.000044096	-0.000014052	-0.000084192
11752	0.00012211	-0.000057207	5.0741E-06	0.000059679	5.5067E-06	0.000031678
11753	-0.000074	0.000044207	-0.000024023	-0.000041301	-0.000014313	-0.000082444
11753	0.00011257	-0.000052392	4.3982E-06	0.000057425	6.0388E-06	0.000033753
11754	-0.000063629	0.000039407	-0.000023951	-0.000037479	-0.000014465	-0.000080484
11754	0.00010191	-0.000047282	4.0541E-06	0.000054066	0.000006563	0.00003573
11755	-0.000052615	0.000034274	-0.000023628	-0.000032473	-0.000014415	-0.000078491
11755	0.000090477	-0.000042028	0.000003962	0.000049314	0.000007001	0.000037528
11756	-0.000041278	0.000029005	-0.00002318	-0.00002657	-0.000014157	-0.000076571
11756	0.000078665	-0.000036753	3.9943E-06	0.000043412	7.3107E-06	0.000039104
11757	-0.000029872	0.000023734	-0.000022724	-0.000020284	-0.000013769	-0.000074734
11757	0.000066798	-0.000031508	4.0357E-06	0.000036955	7.5121E-06	0.000040458
11758	-0.000018504	0.000018499	-0.000022303	-0.000013999	-0.000013367	-0.000072951
11758	0.000054982	-0.00002627	4.0312E-06	0.000030457	7.6648E-06	0.000041612
11759	-7.1415E-06	0.000013271	-0.000021908	-7.7867E-06	-0.000013024	-0.000071179
11759	0.000043148	-0.000020998	3.9979E-06	0.000024075	7.8158E-06	0.000042584
11760	4.3126E-06	0.000007993	-0.00002149	-1.5208E-06	-0.000012737	-0.000069408
11760	0.000031186	-0.000015667	3.9735E-06	0.000017699	7.9795E-06	0.000043419
11761	0.0000159	2.6418E-06	-0.000021033	4.8729E-06	-0.00001244	-0.000067647
11761	0.000019067	-0.000010285	3.9773E-06	0.000011175	8.1193E-06	0.000044148
11762	0.000027537	-2.7353E-06	-0.000020572	0.000011272	-0.00001207	-0.00006591
11762	6.9075E-06	-4.8855E-06	3.9644E-06	4.5417E-06	8.1909E-06	0.000044772
