Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11724	0.00010408	-0.00012944	0.00017907	0.000080981	-0.000049954	-0.00031132
11725	-0.00019103	0.00015393	-0.00014786	-0.00011942	0.000067046	0.00041339
11725	0.00013283	-0.00014534	0.00018557	0.00009622	-0.000055076	-0.00034581
11726	-0.0002311	0.00016775	-0.00013909	-0.0001388	0.000071694	0.00044115
11726	0.00016795	-0.00016213	0.000188	0.00011477	-0.000060279	-0.0003785
11727	-0.00027816	0.00018203	-0.00012441	-0.0001598	0.000074417	0.00046041
11727	0.00020961	-0.0001797	0.00018563	0.00013505	-0.000064033	-0.00040543
11728	-0.00033028	0.00019672	-0.0001052	-0.00018003	0.000073688	0.00046575
11728	0.00025687	-0.00019707	0.00017699	0.00015488	-0.000064899	-0.00042118
11729	-0.00038355	0.00021071	-0.000083153	-0.0001991	0.00006959	0.00045244
11729	0.00030666	-0.00021266	0.00016184	0.00017374	-0.000062726	-0.00042011
11730	-0.00043363	0.0002227	-0.000060194	-0.00021811	0.000062776	0.00041731
11730	0.00035444	-0.00022554	0.00014306	0.00019243	-0.000057881	-0.00039785
11731	-0.00047636	0.0002317	-0.000038376	-0.00023633	0.000053315	0.00036053
11731	0.00039534	-0.00023529	0.0001246	0.00021012	-0.000050364	-0.00035403
11732	-0.00050779	0.00023733	-0.000020393	-0.00025059	0.000041089	0.0002858
11732	0.00042522	-0.00024169	0.00010975	0.00022385	-0.000040153	-0.0002926
11733	-0.0005251	0.00023959	-8.4838E-06	-0.00025702	0.000026715	0.00019989
11733	0.00044144	-0.00024456	0.00010019	0.00023006	-0.000027923	-0.00022064
11734	-0.00052698	0.00023852	-3.6996E-06	-0.00025373	0.000011771	0.00011108
11734	0.00044298	-0.00024352	0.000095885	0.00022696	-0.000015172	-0.00014616
11735	-0.00051384	0.00023385	-5.4073E-06	-0.00024225	-1.9627E-06	0.000026916
11735	0.00043047	-0.0002381	0.000095435	0.00021597	-0.000003515	-0.000075787
11736	-0.00048778	0.00022544	-0.000011743	-0.00022624	-0.000013417	-0.000047031
11736	0.00040602	-0.00022817	0.000097014	0.00020048	6.1266E-06	-0.000013781
11737	-0.00045209	0.00021351	-0.000020448	-0.00020952	-0.000022538	-0.00010809
11737	0.00037252	-0.00021409	0.000098984	0.00018394	0.000013735	0.000038251
11738	-0.00041055	0.00019868	-0.000029244	-0.00019388	-0.000029843	-0.00015628
11738	0.00033319	-0.00019695	0.00010061	0.00016801	0.000019788	0.000080484
11739	-0.00036673	0.00018197	-0.000036386	-0.00017791	-0.000035668	-0.00019366
11739	0.0002911	-0.00017825	0.0001017	0.00015154	0.000024616	0.00011398
11740	-0.00032267	0.00016452	-0.000041657	-0.00015876	-0.000039791	-0.00022287
11740	0.00024811	-0.00015895	0.00010195	0.00013211	0.000028029	0.0001399
11741	-0.00027812	0.00014662	-0.000045836	-0.00013572	-0.000042014	-0.00024607
11741	0.00020453	-0.00013878	0.00010039	0.00010929	0.000029833	0.00015972
11742	-0.00023198	0.00012804	-0.000050058	-0.00011178	-0.000042987	-0.0002642
11742	0.00016011	-0.00011705	0.00009631	0.000085784	0.000030553	0.00017515
11743	-0.00018425	0.00010853	-0.00005431	-0.000089839	-0.000043792	-0.00027761
11743	0.00011478	-0.000093774	0.000090178	0.000063893	0.000031142	0.00018775
11744	-0.00013635	0.000088392	-0.000057768	-0.000070099	-0.000044983	-0.00028678
11744	0.000069257	-0.000069849	0.000083143	0.000043563	0.000032161	0.00019852
11745	-0.000089644	0.000068146	-0.000059923	-0.000051135	-0.000046325	-0.00029244
11745	0.000024469	-0.000046281	0.000076176	0.000023612	0.000033505	0.00020783
11746	-0.000044289	0.000047942	-0.000060679	-0.000031569	-0.00004713	-0.00029563
11746	-0.000019594	-0.000023374	0.000069775	3.1709E-06	0.000034638	0.00021585
11747	4.2951E-07	0.000027801	-0.000060792	-0.000011289	-0.000046933	-0.00029696
11747	-0.0000633	-7.2279E-07	0.0000635	-0.000017536	0.000035082	0.00022243
11748	0.000045476	7.4878E-06	-0.000060857	9.0855E-06	-0.000045843	-0.00029666
11748	-0.00010724	0.000022276	0.000056779	-0.000037915	0.000034854	0.00022771
11749	0.000091665	-0.00001319	-0.000061356	0.000029261	-0.000044316	-0.0002946
11749	-0.00015192	0.000045984	0.000049396	-0.000057925	0.000034319	0.00023196
11750	0.00013889	-0.000034175	-0.000062221	0.000049741	-0.000043009	-0.0002905
11750	-0.00019727	0.000070206	0.000041517	-0.000078494	0.00003406	0.00023536
11751	0.00018589	-0.000054981	-0.000063001	0.000071722	-0.000042471	-0.00028416
11751	-0.00024234	0.000094093	0.000033713	-0.00010125	0.00003464	0.0002381
11752	0.00023101	-0.000075015	-0.000063063	0.000096146	-0.000042696	-0.00027574
11752	-0.0002859	0.0001166	0.000026699	-0.0001272	0.000036161	0.00024023
11753	0.00027324	-0.000094033	-0.000061914	0.00012253	-0.000043111	-0.00026575
11753	-0.00032721	0.00013719	0.000020985	-0.00015546	0.000038153	0.0002417
11754	0.00031252	-0.00011206	-0.000059681	0.00014932	-0.000043113	-0.00025478
11754	-0.00036627	0.00015601	0.000016528	-0.00018405	0.000040016	0.00024246
11755	0.00034968	-0.00012951	-0.000056623	0.00017498	-0.000042397	-0.00024331
11755	-0.00040377	0.00017369	0.00001309	-0.00021112	0.000041333	0.00024249
11756	0.00038589	-0.00014688	-0.00005314	0.00019866	-0.000040945	-0.00023163
11756	-0.00044067	0.00019097	0.000010302	-0.00023569	0.00004194	0.00024178
11757	0.00042189	-0.00016432	-0.000049544	0.00022083	-0.000039032	-0.00021981
11757	-0.00047751	0.00020825	7.8318E-06	-0.0002584	0.000042019	0.00024033
11758	0.00045786	-0.00018174	-0.000045982	0.000243	-0.000037033	-0.00020785
11758	-0.00051423	0.0002254	5.5117E-06	-0.00028101	0.000041934	0.00023818
11759	0.00049352	-0.0001989	-0.000042342	0.00026649	-0.000035163	-0.00019574
11759	-0.00055049	0.00024207	3.4292E-06	-0.00030498	0.000041935	0.00023534
11760	0.00052836	-0.00021555	-0.000038647	0.00029143	-0.000033406	-0.00018346
11760	-0.00058601	0.00025809	1.6045E-06	-0.00033059	0.000042048	0.00023191
11761	0.00056245	-0.00023185	-0.000034867	0.00031642	-0.000031573	-0.00017108
11761	-0.00062099	0.00027368	8.0759E-08	-0.00035629	0.000042048	0.00022796
11762	0.00059648	-0.00024826	-0.00003105	0.00034004	-0.00002953	-0.00015873
11762	-0.00065587	0.00028928	-0.000001245	-0.00038033	0.000041716	0.00022355
11763	0.00063063	-0.00026481	-0.000027245	0.00036292	-0.000027385	-0.00014646
11763	-0.00069076	0.00030493	-2.4433E-06	-0.00040342	0.000041156	0.00021869
11764	0.00066434	-0.00028095	-0.000023512	0.00038722	-0.000025327	-0.00013423
11764	-0.0007253	0.00032018	-3.5397E-06	-0.00042812	0.000040655	0.00021336
11765	0.00069694	-0.00029625	-0.000019794	0.00041415	-0.000023412	-0.00012201
11765	-0.0007589	0.00033456	-4.4577E-06	-0.00045583	0.000040338	0.00020758
11766	0.00072847	-0.00031086	-0.000016104	0.00044242	-0.000021527	-0.00010991
11766	-0.00079134	0.00034814	-5.2399E-06	-0.00048492	0.000040034	0.0002014
11767	0.00075943	-0.00032517	-0.000012432	0.00047045	-0.000019584	-0.000098032
11767	-0.00082275	0.00036119	-5.9126E-06	-0.00051343	0.000039566	0.00019488
11768	0.00079004	-0.00033932	-8.8465E-06	0.00049791	-0.000017587	-0.000086418
11768	-0.00085336	0.0003739	-6.5256E-06	-0.00054097	0.00003891	0.00018804
11769	0.0008203	-0.00035329	-5.3452E-06	0.00052487	-0.000015559	-0.000075077
11769	-0.00088343	0.00038636	-7.0546E-06	-0.00056783	0.000038094	0.00018092
11770	0.00084996	-0.00036684	-1.9613E-06	0.00055234	-0.000013547	-0.000064041
11770	-0.00091286	0.0003984	-7.5154E-06	-0.00059517	0.000037202	0.00017353
11771	0.00087879	-0.00037979	1.3618E-06	0.00058106	-0.000011579	-0.000053371
11771	-0.0009414	0.00040978	-7.8559E-06	-0.00062378	0.000036287	0.0001659
11772	0.00090656	-0.00039203	4.6115E-06	0.00061082	-9.6471E-06	-0.000043096
11772	-0.00096902	0.00042048	-8.0857E-06	-0.00065358	0.00003533	0.00015804
11773	0.00093316	-0.00040352	0.000007736	0.00064118	-7.7402E-06	-0.000033233
